Drug,Class_ID,Classification
bufylline,R03DA10,Drugs for obstructive airway diseases
alsactide,V04CH04,Diagnostic agents
penfluridol,N05AG03,Psycholeptics
atazanavir and cobicistat,J05AR15,Antivirals for systemic use
microspheres of human albumin,V08DA01,Contrast media
enasidenib,L01XX59,Antineoplastic agents
technetium (99mTc) apcitide,V09GA07,Diagnostic radiopharmaceuticals
Other alkylating agents in ATC,L01AX,Antineoplastic agents
mebutamate,N05BC04,Psycholeptics
PERIPHERAL VASODILATORS,C04A,Peripheral vasodilators
iopamidol,V08AB04,Contrast media
"typhoid, purified polysaccharide antigen",J07AP03,Vaccines
miglitol,A10BF02,Drugs used in diabetes
tinzaparin,B01AB10,Antithrombotic agents
benzocaine,N01BA05,Anesthetics
itraconazole,J02AC02,Antimycotics for systemic use
Other uterotonics in ATC,G02AX,Other gynecologicals
lynestrenol,G03DC03,Sex hormones and modulators of the genital system
"Local anesthetics, ophthalmologic",S01H,Ophthalmologicals
pyritinol,N06BX02,Psychoanaleptics
perflubron,V08CX01,Contrast media
"collagen, combinations",D11AX57,Other dermatological preparations
tazobactam,J01CG02,Antibacterials for systemic use
"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",H02B,Corticosteroids for systemic use
RENAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,V09C,Diagnostic radiopharmaceuticals
Organic nitrates used in cardiac disease,C01DA,Cardiac therapy
arginine hydrochloride,B05XB01,Blood substitutes and perfusion solutions
galcanezumab,N02CX08,Analgesics
lovastatin,C10AA02,Lipid modifying agents
combinations of sulfonamides,G01AE10,Gynecological antiinfectives and antiseptics
Other cardiac stimulants in ATC,C01CX,Cardiac therapy
microspheres of phospholipids,V08DA04,Contrast media
azatadine,R06AX09,Antihistamines for systemic use
troxipide,A02BX11,Drugs for acid related disorders
mercaptopurine,L01BB02,Antineoplastic agents
multivitamins and trace elements,A11AA04,Vitamins
lurasidone,N05AE05,Psycholeptics
methylhomatropine and psycholeptics,A03CB04,Drugs for functional gastrointestinal disorders
"Iron, parenteral antianemic preparations",B03AC,Antianemic preparations
"carbenoxolone, combinations with psycholeptics",A02BX71,Drugs for acid related disorders
indium (111In) capromab pendetide,V09IB04,Diagnostic radiopharmaceuticals
"verapamil, combinations",C08DA51,Calcium channel blockers
potassium permanganate,V03AB18,All other therapeutic products
tamsulosin and dutasteride,G04CA52,Urologicals
chlorambucil,L01AA02,Antineoplastic agents
riociguat,C02KX05,Antihypertensives
"influenza, inactivated, split virus or surface antigen",J07BB02,Vaccines
fludarabine,L01BB05,Antineoplastic agents
ancestim,L03AA12,Immunostimulants
icotinib,L01XE48,Antineoplastic agents
Social Behavior,T054,NA
isosorbide dinitrate,C01DA08,Cardiac therapy
reproterol and sodium cromoglicate,R03AK05,Drugs for obstructive airway diseases
nitroprusside,C02DD01,Antihypertensives
Rauwolfia alkaloids and diuretics in combination,C02LA,Antihypertensives
formoterol and beclometasone,R03AK08,Drugs for obstructive airway diseases
lidocaine,S02DA01,Otologicals
"procaine, combinations",N01BA52,Anesthetics
dipyrocetyl and corticosteroids,M01BA02,Anti-inflammatory and antirheumatic products
Antihypertensives for pulmonary arterial hypertension,C02KX,Antihypertensives
follitropin delta,G03GA10,Sex hormones and modulators of the genital system
dimethylaminopropionylphenothiazine,A03AC02,Drugs for functional gastrointestinal disorders
lidocaine,D04AB01,Antipruritics
Alpha and beta blocking agents,C07AG,Beta blocking agents
Antipropulsives,A07DA,Antidiarrheals
idelalisib,L01XX47,Antineoplastic agents
"Adrenergics inhalants in combination with corticosteroids or other drugs, excl. anticholinergics",R03AK,Drugs for obstructive airway diseases
sodium fluoride (18F),V09IX06,Diagnostic radiopharmaceuticals
Oxytocin and analogues,H01BB,Pituitary and hypothalamic hormones and analogues
benzocaine,D04AB04,Antipruritics
tiropramide,A03AC05,Drugs for functional gastrointestinal disorders
cinchocaine,S02DA04,Otologicals
dexamethasone,S02BA06,Otologicals
amineptine,N06AA19,Psychoanaleptics
perindopril and amlodipine,C09BB04,Agents acting on the renin–angiotensin system
nivolumab,L01XC17,Antineoplastic agents
prednisolone and promethazine,V03AB05,All other therapeutic products
"rauwolfia alkaloids, whole root and diuretics",C02LA08,Antihypertensives
"Diaminopyrimidines, antimalarials",P01BD,Antiprotozoals
"aminophenazone, combinations with psycholeptics",N02BB73,Analgesics
flumedroxone,N02CB01,Analgesics
norfloxacin,J01MA06,Antibacterials for systemic use
olmutinib,L01XE40,Antineoplastic agents
thiopental,N05CA19,Psycholeptics
methohexital,N01AF01,Anesthetics
aurotioprol,M01CB05,Anti-inflammatory and antirheumatic products
haloprogin,D01AE11,Antifungals for dermatological use
ANTITHROMBOTIC AGENTS,B01,Antithrombotic agents
metronidazole,D06BX01,Antibiotics and chemotherapeutics for dermatological use
sulfaisodimidine,J01EB01,Antibacterials for systemic use
hexamidine,S01AX08,Ophthalmologicals
chlorphenoxamine,R06AA06,Antihistamines for systemic use
Gold preparations,M01CB,Anti-inflammatory and antirheumatic products
exemestane,L02BG06,Endocrine therapy
phenglutarimide,N04AA09,Anti-parkinson drugs
lynestrenol and estrogen,G03FB02,Sex hormones and modulators of the genital system
Antacids with antiflatulents,A02AF,Drugs for acid related disorders
benzydamine,A01AD02,Stomatological preparations
terizidone,J04AK03,Antimycobacterials
dimethoxanate,R05DB28,Cough and cold preparations
tofisopam,N05BA23,Psycholeptics
saxagliptin and dapagliflozin,A10BD21,Drugs used in diabetes
sulfadiazine and trimethoprim,J01EE02,Antibacterials for systemic use
retinol,R01AX02,Nasal preparations
metyrapone,V04CD01,Diagnostic agents
delamanid,J04AK06,Antimycobacterials
norethisterone and estrogen,G03FB05,Sex hormones and modulators of the genital system
OTHER DIURETICS in ATC,C03X,Diuretics
testosterone and estrogen,G03EA02,Sex hormones and modulators of the genital system
hexamidine,D08AC04,Antiseptics and disinfectants
"Corticosteroids, combinations for treatment of acne",D10AA,Anti-acne preparations
Tissue,T024,NA
estrone,G03CA07,Sex hormones and modulators of the genital system
niaprazine,N05CM16,Psycholeptics
"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",D07B,Corticosteroids
Benzodiazepine related hypnotics and sedatives,N05CF,Psycholeptics
temazepam,N05CD07,Psycholeptics
butoconazole,G01AF15,Gynecological antiinfectives and antiseptics
HIGH-CEILING DIURETICS,C03C,Diuretics
"Corticosteroids, potent (group III)",D07AC,Corticosteroids
clofenotane,P03AB01,Ectoparasiticides
sibutramine,A08AA10,Antiobesity preparations
lisuride,G02CB02,Other gynecologicals
suvorexant,N05CM19,Psycholeptics
edoxaban,B01AF03,Antithrombotic agents
flutrimazole,G01AF18,Gynecological antiinfectives and antiseptics
fabomotizole,N05BX04,Psycholeptics
sodium phosphate,A06AG01,Drugs for constipation
insulin lispro,A10AC04,Drugs used in diabetes
NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,C08E,Calcium channel blockers
calcium folinate,V03AF03,All other therapeutic products
IMMUNE SERA AND IMMUNOGLOBULINS,J06,Immune sera and immunoglobulins
trimetazidine,C01EB15,Cardiac therapy
"zoster, live attenuated",J07BK02,Vaccines
ibopamine,S01FB03,Ophthalmologicals
motavizumab,J06BB17,Immune sera and immunoglobulins
desogestrel and ethinylestradiol,G03AB05,Sex hormones and modulators of the genital system
calcium carbimide,N07BB02,Other nervous system drugs
ketoconazole,D01AC08,Antifungals for dermatological use
"dihydralazine and diuretics, combinations with other drugs",C02LG51,Antihypertensives
Esters of aminobenzoic acid for local anesthesia,N01BA,Anesthetics
glyceryl trinitrate,C05AE01,Vasoprotectives
quifenadine,R06AX31,Antihistamines for systemic use
strontium (89Sr) chloride,V10BX01,Therapeutic radiopharmaceuticals
Hypertonic solutions,B05DB,Blood substitutes and perfusion solutions
taurolidine,B05CA05,Blood substitutes and perfusion solutions
moclobemide,N06AG02,Psychoanaleptics
myristyl-benzalkonium,R02AA10,Throat preparations
talimogene laherparepvec,L01XX51,Antineoplastic agents
"pertussis, purified antigen",J07AJ02,Vaccines
"Progestogens and estrogens systemic contraceptives, sequential preparations",G03AB,Sex hormones and modulators of the genital system
isopropamide,A03AB09,Drugs for functional gastrointestinal disorders
"pseudoephedrine, combinations",R01BA52,Nasal preparations
"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",R05F,Cough and cold preparations
Pyrimidine derivatives acting on arteriolar smooth muscle,C02DC,Antihypertensives
elvitegravir,J05AX11,Antivirals for systemic use
Antiinfective irrigating solutions,B05CA,Blood substitutes and perfusion solutions
"MULTIVITAMINS, PLAIN",A11B,Vitamins
mefenamic acid,M01AG01,Anti-inflammatory and antirheumatic products
fibrinolysin,B01AD05,Antithrombotic agents
"rosuvastatin, amlodipine and lisinopril",C10BX07,Lipid modifying agents
desfesoterodine,G04BD13,Urologicals
cefuroxime,S01AA27,Ophthalmologicals
"lansoprazole, amoxicillin and clarithromycin",A02BD07,Drugs for acid related disorders
hexobarbital,N05CA16,Psycholeptics
anastrozole,L02BG03,Endocrine therapy
"miconazole, combinations",D01AC52,Antifungals for dermatological use
cidofovir,J05AB12,Antivirals for systemic use
ibutilide,C01BD05,Cardiac therapy
bibrocathol,S01AX05,Ophthalmologicals
dexamethasone,S01CB01,Ophthalmologicals
terbutaline,R03AC03,Drugs for obstructive airway diseases
dienogest and estradiol,G03AB08,Sex hormones and modulators of the genital system
ivacaftor and lumacaftor,R07AX30,Other respiratory system products
hepatitis B immunoglobulin,J06BB04,Immune sera and immunoglobulins
dorzolamide,S01EC03,Ophthalmologicals
Antidiarrheal microorganisms,A07FA,Antidiarrheals
Androgens and female sex hormones in combination with other drugs,G03EK,Sex hormones and modulators of the genital system
roxithromycin,J01FA06,Antibacterials for systemic use
famciclovir,J05AB09,Antivirals for systemic use
sodium cellulose phosphate,V03AG01,All other therapeutic products
ciclonium and analgesics,A03DA04,Drugs for functional gastrointestinal disorders
abetimus,L04AA22,Immunosuppressants
"nystatin, combinations",G01AA51,Gynecological antiinfectives and antiseptics
telotristat,A16AX15,Other alimentary tract and metabolism products
methylatropine,A03BB02,Drugs for functional gastrointestinal disorders
Mental Process,T041,NA
probucol,C10AX02,Lipid modifying agents
OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,R03D,Drugs for obstructive airway diseases
ANTHELMINTICS,P02,Anthelmintics
carbohydrates,B05BA03,Blood substitutes and perfusion solutions
lysozyme,J05AX02,Antivirals for systemic use
"heparin, combinations",C05BA53,Vasoprotectives
dibekacin,J01GB09,Antibacterials for systemic use
letosteine,R05CB09,Cough and cold preparations
polymyxin B,S01AA18,Ophthalmologicals
gallium (67Ga) citrate,V09HX01,Diagnostic radiopharmaceuticals
prasterone,A14AA07,Anabolic agents for systemic use
indoramin,C02CA02,Antihypertensives
chlorcyclizine,R06AE04,Antihistamines for systemic use
fasudil,C04AX32,Peripheral vasodilators
ANTIFUNGALS FOR TOPICAL USE,D01A,Antifungals for dermatological use
guanoxan,C02CC03,Antihypertensives
"Estrogens, endocrine therapy drugs",L02AA,Endocrine therapy
everolimus,L04AA18,Immunosuppressants
technetium (99mTc) votumumab,V09IA04,Diagnostic radiopharmaceuticals
deferasirox,V03AC03,All other therapeutic products
primidone,N03AA03,Antiepileptics
"isoniazid, combinations",J04AC51,Antimycobacterials
vidarabine,S01AD06,Ophthalmologicals
combinations of electrolytes,B05XA30,Blood substitutes and perfusion solutions
triamcinolone,D07XB02,Corticosteroids
metrifonate,P02BB01,Anthelmintics
ceforanide,J01DC11,Antibacterials for systemic use
anethole trithione,A16AX02,Other alimentary tract and metabolism products
"Thiazides, plain",C03AA,Diuretics
nikethamide,R07AB02,Other respiratory system products
OTHER DRUGS USED IN DIABETES in ATC,A10X,Drugs used in diabetes
"Imidazole derivatives, antibacterial for systemic use",J01XD,Antibacterials for systemic use
meprednisone,H02AB15,Corticosteroids for systemic use
nitazoxanide,P01AX11,Antiprotozoals
kanamycin,A07AA08,Antidiarrheals
magnesium orotate,A12CC09,Mineral supplements
fluocortin,D07AB04,Corticosteroids
diazepam,N05BA01,Psycholeptics
pioglitazone and sitagliptin,A10BD12,Drugs used in diabetes
"other preparations, combinations",C05AX03,Vasoprotectives
OTHER ANTIBACTERIALS in ATC,J01X,Antibacterials for systemic use
"buclizine, combinations",R06AE51,Antihistamines for systemic use
"rifampicin, pyrazinamide, ethambutol and isoniazid",J04AM06,Antimycobacterials
tuberculin,V04CF01,Diagnostic agents
citalopram,N06AB04,Psychoanaleptics
methyclothiazide,C03AA08,Diuretics
gepirone,N06AX19,Psychoanaleptics
prucalopride,A06AX05,Drugs for constipation
Antiinflammatory products for vaginal administration,G02CC,Other gynecologicals
candicidin,G01AA04,Gynecological antiinfectives and antiseptics
cerium oxalate,A04AD02,Antiemetics and antinauseants
methoxy polyethylene glycol-epoetin beta,B03XA03,Antianemic preparations
tropenzilone and analgesics,A03DA01,Drugs for functional gastrointestinal disorders
ferrous fumarate,B03AA02,Antianemic preparations
alteplase,S01XA13,Ophthalmologicals
Intravaginal contraceptives,G02BB,Other gynecologicals
naphazoline,R01AB02,Nasal preparations
nifurtoinol,J01XE02,Antibacterials for systemic use
dexamethasone,R01AD03,Nasal preparations
chromium (51Cr) edetate,V09CX04,Diagnostic radiopharmaceuticals
Proteolytic enzymes for treatment of wounds and ulcers,D03BA,Preparations for treatment of wounds and ulcers
Other systemic hemostatics in ATC,B02BX,Antihemorrhagics
finasteride,D11AX10,Other dermatological preparations
landiolol,C07AB14,Beta blocking agents
rupatadine,R06AX28,Antihistamines for systemic use
nefazodone,N06AX06,Psychoanaleptics
medroxyprogesterone and estradiol,G03AA17,Sex hormones and modulators of the genital system
temoporfin,L01XD05,Antineoplastic agents
"Melatonin receptor agonists, hypnotics and sedatives",N05CH,Psycholeptics
docetaxel,L01CD02,Antineoplastic agents
ranimustine,L01AD07,Antineoplastic agents
"papillomavirus (human types 16, 18)",J07BM02,Vaccines
dihydrostreptomycin,S01AA15,Ophthalmologicals
Folic acid and derivatives as antianemics,B03BB,Antianemic preparations
idarucizumab,V03AB37,All other therapeutic products
ferrous chloride,B03AA05,Antianemic preparations
ambroxol,R05CB06,Cough and cold preparations
thioridazine,N05AC02,Psycholeptics
amikacin,J01GB06,Antibacterials for systemic use
carumonam,J01DF02,Antibacterials for systemic use
tirofiban,B01AC17,Antithrombotic agents
alaproclate,N06AB07,Psychoanaleptics
ciprofloxacin and tinidazole,J01RA11,Antibacterials for systemic use
"permethrin, combinations",P03AC54,Ectoparasiticides
"theobromine, combinations",R03DA57,Drugs for obstructive airway diseases
insulin glargine,A10AE04,Drugs used in diabetes
"rescinnamine and diuretics, combinations with other drugs",C02LA52,Antihypertensives
technetium (99mTc) tin colloid,V09DB04,Diagnostic radiopharmaceuticals
ticlopidine,B01AC05,Antithrombotic agents
iproniazide,N06AF05,Psychoanaleptics
hydrochloric acid,A09AB03,Digestives
"carisoprodol, combinations with psycholeptics",M03BA72,Muscle relaxants
lidocaine,C05AD01,Vasoprotectives
magnesium peroxide,A06AD03,Drugs for constipation
methylprednisolone,D10AA02,Anti-acne preparations
palbociclib,L01XE33,Antineoplastic agents
iron and multivitamins,B03AE03,Antianemic preparations
cinchocaine,C05AD04,Vasoprotectives
"propanol, combinations",D08AX53,Antiseptics and disinfectants
opium derivatives and mucolytics,R05FA01,Cough and cold preparations
HMG CoA reductase inhibitors in combination with other lipid modifying agents,C10BA,Lipid modifying agents
Hydrazinophthalazine derivatives acting on arteriolar smooth muscle,C02DB,Antihypertensives
"Progestogens and estrogen systemic contraceptives, fixed combinations",G03AA,Sex hormones and modulators of the genital system
"Podophyllotoxin derivatives, antineoplastic drugs",L01CB,Antineoplastic agents
verapamil,C08DA01,Calcium channel blockers
tamsulosin,G04CA02,Urologicals
cypermethrin,P03BA02,Ectoparasiticides
creatinolfosfate,C01EB05,Cardiac therapy
meglumine antimonate,P01CB01,Antiprotozoals
"Folic acid analogs, antimetabolites",L01BA,Antineoplastic agents
metrizamide,V08AB01,Contrast media
pentaerithrityl tetranitrate,C01DA05,Cardiac therapy
carvedilol,C07AG02,Beta blocking agents
"Quinolines, antirheumatic drugs",M01CA,Anti-inflammatory and antirheumatic products
