Drug,CHEMBL,ATC
"aminophylline, combinations",CHEMBL1370561,R03DA55
"octenidine, combinations",CHEMBL1199480,G01AX66
carbocromen,CHEMBL163672,C01DX05
otilonium bromide and psycholeptics,CHEMBL2103773,A03CA04
"Iron trivalent, oral antianemic preparations",CHEMBL1200823,B03AB
factor VIII inhibitor bypassing activity,CHEMBL2109100,B02BD03
ferric acetyl transferrin,CHEMBL2108597,B03AB08
benorilate,CHEMBL162036,N02BA10
levobunolol,CHEMBL1201177,S01ED03
phentolamine,CHEMBL1200873,C04AB01
medical air,CHEMBL2108889,V03AN05
HEPATIC AND RETICULO ENDOTHELIAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,CHEMBL2107894,V09D
CALCIUM SUPPLEMENTS,CHEMBL1200800,A12A
Other vasodilators used in cardiac diseases in ATC,CHEMBL1200642,C01DX
diphtheria immunoglobulin,CHEMBL2108417,J06BB10
Corticosteroids acting locally,CHEMBL4297964,A07EA
"Progestogens, endocrine therapy drugs",CHEMBL3707212,L02AB
clotrimazole,CHEMBL104,D01AC01
alfaxalone,CHEMBL3137670,N01AX05
Governmental or Regulatory Activity,CHEMBL3645269,T064
cinacalcet,CHEMBL1201284,H05BX01
potassium chloride,CHEMBL1200731,B05XA01
saxagliptin,CHEMBL2103745,A10BH03
pivmecillinam,CHEMBL1650818,J01CA08
Alpha and beta blocking agents and thiazides,CHEMBL2447928,C07BG
trometamol,CHEMBL1200391,B05BB03
mebutizide and potassium-sparing agents,CHEMBL3989462,C03EA05
combinations of corticosteroids,CHEMBL1200718,D07XB30
DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,CHEMBL2107874,M05B
Medical gases,CHEMBL2108889,V03AN
olanzapine,CHEMBL715,N05AH03
hexoprenaline,CHEMBL1589896,R03AC06
gallium (68Ga) edotreotide,CHEMBL1201200,V09IX09
elosulfase alfa,CHEMBL2108676,A16AB12
isoprenaline,CHEMBL1160723,C01CA02
Nitrogen mustard analogues,CHEMBL189815,L01AA
conjugated estrogens,CHEMBL1201649,G03CA57
botulinum antitoxin,CHEMBL2109115,J06AA04
amlodipine,CHEMBL1200984,C08CA01
tritoqualine,CHEMBL2104445,R06AX21
vaccinia immunoglobulin,CHEMBL2108699,J06BB07
trypsin,CHEMBL2108821,D03BA01
sodium fluoride,CHEMBL1528,A01AA01
eletriptan,CHEMBL1510,N02CC06
butanilicaine,CHEMBL2104238,N01BB05
brigatinib,CHEMBL3545311,L01XE43
tretoquinol,CHEMBL299175,R03AC09
ciclopirox,CHEMBL1413,D01AE14
Chemical Viewed Functionally,CHEMBL539,T120
meladrazine,CHEMBL2105242,G04BD03
"ampicillin, combinations",CHEMBL1200758,J01CA51
ramipril and amlodipine,CHEMBL1168,C09BB07
iodamide,CHEMBL1201239,V08AA03
enisamium iodide,CHEMBL1716983,J05AX17
"famotidine, combinations",CHEMBL902,A02BA53
adipiodone,CHEMBL1165268,V08AC04
iprazochrome,CHEMBL4297107,N02CX03
calcium citrate lysine complex,CHEMBL2106123,A12AA09
ethylestrenol,CHEMBL1200623,A14AB02
doxylamine,CHEMBL1004,R06AA09
indium (111In) oxinate labelled cells,CHEMBL2111129,V09HB01
formoterol and aclidinium bromide,CHEMBL551466,R03AL05
acetylsalicylic acid,CHEMBL25,A01AD05
etoglucid,CHEMBL460287,L01AG01
"ergotamine, combinations with psycholeptics",CHEMBL2448612,N02CA72
"oxytetracycline, combinations",CHEMBL1517,J01AA56
idoxuridine,CHEMBL788,J05AB02
Antiinflammatory/antirheumatic agents in combination with corticosteroids,CHEMBL1200452,M01BA
bezafibrate,CHEMBL264374,C10AB02
practolol,CHEMBL6995,C07AB01
fluorouracil,CHEMBL185,L01BC02
propiverine,CHEMBL1078261,G04BD06
mold fungus and yeast fungus allergenic extracts,CHEMBL2108815,V01AA04
norfenefrine,CHEMBL358040,C01CA05
deslanoside,CHEMBL1614,C01AA07
secobarbital,CHEMBL1200903,N05CA06
velmanase alfa,CHEMBL4298010,A16AB15
"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",CHEMBL1766,D07
insect allergenic extracts,CHEMBL2074687,V01AA07
vinbarbital,CHEMBL503565,N05CA09
sitagliptin and ertugliflozin,CHEMBL1201174,A10BD24
"Progestogens and estrogens, sequential preparations",CHEMBL1201468,G03FB
lonidamine,CHEMBL1257030,L01XX07
lamotrigine,CHEMBL741,N03AX09
loperamide,CHEMBL1707,A07DA03
"rota virus, live attenuated",CHEMBL2109201,J07BH01
"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",CHEMBL196,A11G
sulfapyridine,CHEMBL700,J01EB04
"paracetamol, combinations with psycholeptics",CHEMBL3544802,N02BE71
ritonavir,CHEMBL3114713,J05AE03
Other analgesics and antipyretics in ATC,CHEMBL3527138,N02BG
lenograstim,CHEMBL2109128,L03AA10
"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC",CHEMBL367463,S01B
carbetocin,CHEMBL3301668,H01BB03
"poliomyelitis, trivalent, inactivated, whole virus",CHEMBL2109163,J07BF03
methylprednisolone,CHEMBL650,D07AA01
eslicarbazepine,CHEMBL87992,N03AF04
"lidocaine, combinations",CHEMBL1200409,N01BB52
anakinra,CHEMBL1201570,L04AC03
Androgens and estrogens,CHEMBL1201468,G03EA
hyaluronic acid,CHEMBL1697748,S01KA01
ritiometan,CHEMBL2105322,R01AX05
canrenone,CHEMBL2140203,C03DA03
dydrogesterone and estrogen,CHEMBL1200853,G03FB08
Other cytotoxic antibiotics in ATC,CHEMBL3527138,L01DC
guar gum,CHEMBL2108446,A10BX01
ivermectin,CHEMBL1200633,D11AX22
"chlorphenoxamine, combinations",CHEMBL2105980,R06AA56
plastic IUD with copper,CHEMBL55643,G02BA02
glycerol,CHEMBL2105745,A06AG04
STOMATOLOGICAL PREPARATIONS,CHEMBL2108930,A01
metergoline,CHEMBL1526242,G02CB05
propiomazine,CHEMBL1201210,N05CM06
"chlormezanone, combinations with psycholeptics",CHEMBL1200714,M03BB72
sodium folinate,CHEMBL3707260,V03AF06
adapalene,CHEMBL1265,D10AD03
paramethadione,CHEMBL1100,N03AC01
VITAMINS,CHEMBL857,A11
boric acid,CHEMBL42403,S02AA03
"Artemisinin and derivatives, plain",CHEMBL269671,P01BE
lifitegrast,CHEMBL2048028,S01XA25
sulfur compounds,CHEMBL2105487,D11AC08
phenprocoumon,CHEMBL16694,B01AA04
rasagiline,CHEMBL887,N04BD02
pancreozymin (cholecystokinin),CHEMBL2108550,V04CK02
Varicella zoster vaccines,CHEMBL2108828,J07BK
carbuterol,CHEMBL2110780,R03AC10
roxatidine,CHEMBL2104871,A02BA06
Soft paraffin dressings,CHEMBL2108076,D09AX
niraparib,CHEMBL1094636,L01XX54
acriflavinium chloride,CHEMBL354349,R02AA13
Other sex hormones and modulators of the genital system in ATC,CHEMBL295392,G03XX
Tissue adhesives,CHEMBL4298121,V03AK
ethacridine lactate,CHEMBL2355915,B05CA08
Fibrinogen containing hemostatics,CHEMBL2109072,B02BB
fluticasone,CHEMBL1676,R03BA05
ciclesonide,CHEMBL2040682,R03BA08
BETA BLOCKING AGENTS AND THIAZIDES,CHEMBL6995,C07B
azilsartan medoxomil and diuretics,CHEMBL2028661,C09DA09
"clofenotane, combinations",CHEMBL416898,P03AB51
"MAO A Inhibitors, antidepressant drugs",CHEMBL673,N06AG
potassium polysulfide,CHEMBL1141,P03AA02
iodoxamic acid,CHEMBL1615487,V08AC01
"HMG CoA reductase inhibitors, plain lipid modifying drugs",CHEMBL1064,C10AA
meclofenamic acid,CHEMBL509,M01AG04
dihydrocodeine and other non-opioid analgesics,CHEMBL2062266,N02AJ03
"Purine analogs, antimetabolites antineoplastic",CHEMBL727,L01BB
saruplase,CHEMBL2108129,B01AD08
mesulfen,CHEMBL2106968,D10AB05
bupropion,CHEMBL1201735,N06AX12
cough suppressants and mucolytics,CHEMBL2106471,R05FB01
pyridostigmine,CHEMBL812,N07AA02
benzbromarone,CHEMBL388590,M04AB03
nalmefene,CHEMBL982,N07BB05
Other estrogens in ATC,CHEMBL1201468,G03CX
"Taxanes, antineoplastic",CHEMBL1201748,L01CD
"pneumococcus, purified polysaccharides antigen conjugated",CHEMBL2108795,J07AL02
benzododecinium,CHEMBL1907001,D09AA05
Other drugs used in benign prostatic hypertrophy in ATC,CHEMBL3545061,G04CX
chloramphenicol,CHEMBL130,D10AF03
INFANT FORMULAS,CHEMBL3659620,V06C
ephedrine,CHEMBL1523964,R01AB05
phenoxymethylpenicillin,CHEMBL615,J01CE02
Congenital Abnormality,CHEMBL753,T019
Psychostimulants in combination with psycholeptics,CHEMBL1200452,N06CB
cisapride,CHEMBL74656,A03FA02
aniracetam,CHEMBL36994,N06BX11
hydrocortisone and antiinfectives,CHEMBL1200953,S03CA04
betamethasone,CHEMBL1697784,R01AD06
"fentanyl, combinations",CHEMBL1201159,N01AH51
celecoxib,CHEMBL118,M01AH01
ximelagatran,CHEMBL522038,B01AE05
metformin and sulfonylureas,CHEMBL1431,A10BD02
pipazetate,CHEMBL2104900,R05DB11
"penicillins, combinations with other antibacterials",CHEMBL3527138,J01RA01
Drugs for embolisation,CHEMBL496957,V03AM
diphtheria-pertussis-poliomyelitis-tetanus,CHEMBL2108107,J07CA02
tuaminoheptane,CHEMBL123693,R01AB08
otologic analgesic and anesthetic combinations,CHEMBL1628401,S02DA30
Papillomavirus vaccines,CHEMBL2108795,J07BM
ergot alkaloids,CHEMBL119443,G02AB02
ANTIEMETICS AND ANTINAUSEANTS,CHEMBL1672054,A04
"perindopril, amlodipine and indapamide",CHEMBL1581,C09BX01
eculizumab,CHEMBL1201828,L04AA25
OTHER DERMATOLOGICAL PREPARATIONS in ATC,CHEMBL3527138,D11A
acrivastine,CHEMBL1224,R06AX18
timolol and thiazides,CHEMBL1200870,C07BA06
Event,CHEMBL768,T051
ANABOLIC AGENTS FOR SYSTEMIC USE,CHEMBL496957,A14
levonorgestrel and ethinylestradiol,CHEMBL1389,G03AA07
"Iron bivalent, oral antianemic preparations",CHEMBL3707208,B03AA
diphtheria toxoid,CHEMBL2109121,J07AF01
ferrous tartrate,CHEMBL3707386,B03AA08
Betulae cortex,CHEMBL1670,D03AX13
Immunologic Factor,CHEMBL1201645,T129
levoverbenone,CHEMBL2426701,R05CA11
clarithromycin,CHEMBL1741,J01FA09
xylometazoline,CHEMBL1256400,S01GA03
diprophylline and adrenergics,CHEMBL1752,R03DB01
brimonidine,CHEMBL2062257,S01EA05
etidronic acid,CHEMBL871,M05BA01
insulin glargine and lixisenatide,CHEMBL1201497,A10AE54
drospirenone and estrogen,CHEMBL1509,G03FA17
THYROID PREPARATIONS,CHEMBL2108878,H03A
samarium (153Sm) hydroxyapatite colloid,CHEMBL2096660,V10AX02
"atenolol and other diuretics, combinations",CHEMBL24,C07CB53
Bile acid sequestrants,CHEMBL1258080,C10AC
diphtheria-hepatitis B-pertussis-tetanus,CHEMBL2108512,J07CA05
Gonadotropin-releasing hormones,CHEMBL263690,H01CA
Antacids with antispasmodics,CHEMBL2108504,A02AG
cimetropium bromide,CHEMBL2105977,A03BB05
flomoxef,CHEMBL15413,J01DC14
zinc acetate,CHEMBL1200928,A16AX05
"typhus exanthematicus, inactivated, whole cell",CHEMBL2108414,J07AR01
Selective immunosuppressants,CHEMBL866,L04AA
alprostadil,CHEMBL2108900,G04BE01
enoximone,CHEMBL249856,C01CE03
dexamethasone,CHEMBL384467,D07XB05
"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds for functional gastrointestinal disorders",CHEMBL1187724,A03BB
cetirizine,CHEMBL1607273,R06AE07
silver sulfadiazine,CHEMBL1382627,D06BA01
caroverine,CHEMBL1729803,A03AX11
Various alimentary tract and metabolism products,CHEMBL134342,A16AX
tribenoside,CHEMBL3301681,C05CX01
"Corticosteroids, moderately potent, other combinations",CHEMBL1200877,D07XB
"Preparations containing sulfur, anti-acne preparations for topical use",CHEMBL442687,D10AB
Other anterior pituitary lobe hormones and analogues in ATC,CHEMBL1201515,H01AX
"Carboxamide derivatives, antiepileptics",CHEMBL108,N03AF
interferon gamma,CHEMBL2108511,L03AB03
fluprednidene,CHEMBL2106763,D07AB07
colistin,CHEMBL2221249,J01XB01
ganciclovir,CHEMBL182,S01AD09
metronidazole,CHEMBL1200869,G01AF01
sulfadimethoxine,CHEMBL62193,J01ED01
phenoperidine,CHEMBL2105385,N01AH04
COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02,CHEMBL1909379,C02N
oxytetracycline,CHEMBL1517,G01AA07
metopimazine,CHEMBL398615,A04AD05
dexamethasone and antiinfectives,CHEMBL1697787,S03CA01
chloroquine,CHEMBL2095223,P01BA01
ketanserin,CHEMBL1256709,C02KD01
Other drugs for constipation in ATC,CHEMBL496957,A06AX
mefloquine,CHEMBL172,P01BC02
efavirenz,CHEMBL223228,J05AG03
paramethasone,CHEMBL1200342,H02AB05
various other intestinal adsorbents in ATC,CHEMBL525028,M02AX10
insulin (pork),CHEMBL1201539,A10AB03
ketobemidone,CHEMBL47072,N02AB01
cefoxitin,CHEMBL1200530,J01DC01
Acetic acid derivatives and related substances,CHEMBL2108943,M01AB
sulfametoxydiazine,CHEMBL1200359,J01ED04
betamethasone,CHEMBL1697784,S01BA06
sorbitol,CHEMBL1682,A06AD18
viloxazine,CHEMBL2106483,N06AX09
insulin glulisine,CHEMBL1201613,A10AB06
thiocolchicoside,CHEMBL213907,M03BX05
elotuzumab,CHEMBL1743010,L01XC23
chlorzoxazone,CHEMBL1371,M03BB03
fusidic acid,CHEMBL134350,D09AA02
lepirudin,CHEMBL1201666,B01AE02
"Alkaloids, excl. rauwolfia, in combination with diuretics",CHEMBL3559672,C02LK
oxazepam,CHEMBL1743322,N05BA04
"chloropyramine, combinations",CHEMBL1194287,R06AC53
monobenzone,CHEMBL1388,D11AX13
"Other drugs for obstructive airway diseases, inhalants in ATC",CHEMBL576127,R03BX
Vitamin K containing hemostatics,CHEMBL1201519,B02BA
paracetamol,CHEMBL112,N02BE01
colestilan,CHEMBL2103800,V03AE06
rimazolium,CHEMBL1182743,N02BG02
Capsaicin and similar agents,CHEMBL294199,M02AB
"pentaerithrityl tetranitrate, combinations",CHEMBL466659,C01DA55
Dichloroacetamide derivative drugs for amoebiasis and other protozoal diseases,CHEMBL2103768,P01AC
indometacin,CHEMBL6,M02AA23
"Corticosteroids and antiinfectives in combination, opthalmologic and otologic",CHEMBL2447928,S03C
Body Space or Junction,CHEMBL3645269,T030
"streptokinase, combinations",CHEMBL2108147,B06AA55
canakinumab,CHEMBL1201834,L04AC08
artemether,CHEMBL566534,P01BE02
alectinib,CHEMBL1738797,L01XE36
chloramphenicol,CHEMBL130,S01AA01
mibefradil,CHEMBL1534525,C08CX01
patiromer calcium,CHEMBL2107840,V03AE09
benzylthiouracil,CHEMBL1491306,H03BA03
copper oleinate,CHEMBL1788399,P03AX02
bucetin,CHEMBL1697856,N02BE04
dixyrazine,CHEMBL3275586,N05AB01
"Monoamine oxidase inhibitors, non-selective",CHEMBL1089,N06AF
technetium (99mTc) phytate,CHEMBL2107894,V09DB07
febuxostat,CHEMBL1164729,M04AA03
brexpiprazole,CHEMBL2105760,N05AX16
pentazocine,CHEMBL560,N02AD01
penicillamine,CHEMBL13239,M01CC01
protirelin,CHEMBL1472,V04CJ02
technetium (99mTc) human albumin,CHEMBL2107893,V09GA04
tertatolol,CHEMBL434200,C07AA16
bufylline,CHEMBL2104089,R03DA10
alsactide,CHEMBL3989434,V04CH04
penfluridol,CHEMBL47050,N05AG03
atazanavir and cobicistat,CHEMBL2095208,J05AR15
microspheres of human albumin,CHEMBL1201451,V08DA01
enasidenib,CHEMBL3989908,L01XX59
technetium (99mTc) apcitide,CHEMBL1201524,V09GA07
Other alkylating agents in ATC,CHEMBL3527138,L01AX
mebutamate,CHEMBL1200922,N05BC04
PERIPHERAL VASODILATORS,CHEMBL188921,C04A
iopamidol,CHEMBL1200932,V08AB04
"typhoid, purified polysaccharide antigen",CHEMBL4298071,J07AP03
miglitol,CHEMBL1561,A10BF02
tinzaparin,CHEMBL1201414,B01AB10
benzocaine,CHEMBL278172,N01BA05
itraconazole,CHEMBL64391,J02AC02
Other uterotonics in ATC,CHEMBL3527138,G02AX
lynestrenol,CHEMBL2107431,G03DC03
"Local anesthetics, ophthalmologic",CHEMBL46058,S01H
pyritinol,CHEMBL488093,N06BX02
perflubron,CHEMBL1200866,V08CX01
"collagen, combinations",CHEMBL2106793,D11AX57
tazobactam,CHEMBL404,J01CG02
"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",CHEMBL496957,H02B
RENAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,CHEMBL2109038,V09C
Organic nitrates used in cardiac disease,CHEMBL3707257,C01DA
arginine hydrochloride,CHEMBL1200381,B05XB01
galcanezumab,CHEMBL3707328,N02CX08
lovastatin,CHEMBL1201373,C10AA02
combinations of sulfonamides,CHEMBL1200718,G01AE10
Other cardiac stimulants in ATC,CHEMBL3527138,C01CX
microspheres of phospholipids,CHEMBL2108100,V08DA04
azatadine,CHEMBL3544908,R06AX09
troxipide,CHEMBL1566956,A02BX11
mercaptopurine,CHEMBL1425,L01BB02
multivitamins and trace elements,CHEMBL1628401,A11AA04
lurasidone,CHEMBL1237021,N05AE05
methylhomatropine and psycholeptics,CHEMBL1628401,A03CB04
"Iron, parenteral antianemic preparations",CHEMBL1200823,B03AC
"carbenoxolone, combinations with psycholeptics",CHEMBL1697717,A02BX71
indium (111In) capromab pendetide,CHEMBL2108800,V09IB04
"verapamil, combinations",CHEMBL1280,C08DA51
potassium permanganate,CHEMBL3833305,V03AB18
tamsulosin and dutasteride,CHEMBL1200969,G04CA52
chlorambucil,CHEMBL515,L01AA02
riociguat,CHEMBL2107834,C02KX05
"influenza, inactivated, split virus or surface antigen",CHEMBL4297973,J07BB02
fludarabine,CHEMBL1096882,L01BB05
ancestim,CHEMBL2108975,L03AA12
icotinib,CHEMBL2087361,L01XE48
Social Behavior,CHEMBL4297919,T054
isosorbide dinitrate,CHEMBL6622,C01DA08
reproterol and sodium cromoglicate,CHEMBL1095607,R03AK05
nitroprusside,CHEMBL2097081,C02DD01
Rauwolfia alkaloids and diuretics in combination,CHEMBL3559672,C02LA
formoterol and beclometasone,CHEMBL3989798,R03AK08
lidocaine,CHEMBL1200409,S02DA01
"procaine, combinations",CHEMBL1628385,N01BA52
dipyrocetyl and corticosteroids,CHEMBL1451173,M01BA02
Antihypertensives for pulmonary arterial hypertension,CHEMBL957,C02KX
follitropin delta,CHEMBL4297955,G03GA10
dimethylaminopropionylphenothiazine,CHEMBL3707362,A03AC02
lidocaine,CHEMBL1200409,D04AB01
Alpha and beta blocking agents,CHEMBL723,C07AG
idelalisib,CHEMBL4095008,L01XX47
"Adrenergics inhalants in combination with corticosteroids or other drugs, excl. anticholinergics",CHEMBL3527138,R03AK
sodium fluoride (18F),CHEMBL1528,V09IX06
Oxytocin and analogues,CHEMBL1791169,H01BB
benzocaine,CHEMBL278172,D04AB04
tiropramide,CHEMBL2104688,A03AC05
cinchocaine,CHEMBL1086,S02DA04
dexamethasone,CHEMBL384467,S02BA06
amineptine,CHEMBL418995,N06AA19
perindopril and amlodipine,CHEMBL1581,C09BB04
nivolumab,CHEMBL2108738,L01XC17
prednisolone and promethazine,CHEMBL1200750,V03AB05
"rauwolfia alkaloids, whole root and diuretics",CHEMBL3559672,C02LA08
"Diaminopyrimidines, antimalarials",CHEMBL36,P01BD
"aminophenazone, combinations with psycholeptics",CHEMBL2104635,N02BB73
flumedroxone,CHEMBL2104932,N02CB01
norfloxacin,CHEMBL9,J01MA06
olmutinib,CHEMBL3989930,L01XE40
thiopental,CHEMBL441,N05CA19
methohexital,CHEMBL7413,N01AF01
aurotioprol,CHEMBL3707213,M01CB05
haloprogin,CHEMBL1289,D01AE11
ANTITHROMBOTIC AGENTS,CHEMBL325166,B01
metronidazole,CHEMBL1200869,D06BX01
sulfaisodimidine,CHEMBL485696,J01EB01
hexamidine,CHEMBL25105,S01AX08
chlorphenoxamine,CHEMBL2105980,R06AA06
Gold preparations,CHEMBL306043,M01CB
exemestane,CHEMBL1200374,L02BG06
phenglutarimide,CHEMBL1096643,N04AA09
lynestrenol and estrogen,CHEMBL2107431,G03FB02
Antacids with antiflatulents,CHEMBL2108504,A02AF
benzydamine,CHEMBL1528134,A01AD02
terizidone,CHEMBL2107553,J04AK03
dimethoxanate,CHEMBL2110862,R05DB28
tofisopam,CHEMBL404216,N05BA23
saxagliptin and dapagliflozin,CHEMBL2103745,A10BD21
sulfadiazine and trimethoprim,CHEMBL1382627,J01EE02
retinol,CHEMBL3137697,R01AX02
metyrapone,CHEMBL934,V04CD01
delamanid,CHEMBL3741702,J04AK06
norethisterone and estrogen,CHEMBL3187229,G03FB05
OTHER DIURETICS in ATC,CHEMBL3527138,C03X
testosterone and estrogen,CHEMBL1200335,G03EA02
hexamidine,CHEMBL25105,D08AC04
"Corticosteroids, combinations for treatment of acne",CHEMBL496957,D10AA
Tissue,CHEMBL4298121,T024
estrone,CHEMBL1405,G03CA07
niaprazine,CHEMBL2105141,N05CM16
"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",CHEMBL514315,D07B
Benzodiazepine related hypnotics and sedatives,CHEMBL911,N05CF
temazepam,CHEMBL967,N05CD07
butoconazole,CHEMBL1295,G01AF15
HIGH-CEILING DIURETICS,CHEMBL330829,C03C
"Corticosteroids, potent (group III)",CHEMBL1200386,D07AC
clofenotane,CHEMBL416898,P03AB01
sibutramine,CHEMBL3989830,A08AA10
lisuride,CHEMBL461353,G02CB02
suvorexant,CHEMBL1083659,N05CM19
edoxaban,CHEMBL1269025,B01AF03
flutrimazole,CHEMBL2107430,G01AF18
fabomotizole,CHEMBL3707307,N05BX04
sodium phosphate,CHEMBL1060,A06AG01
insulin lispro,CHEMBL1201538,A10AC04
NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,CHEMBL92870,C08E
calcium folinate,CHEMBL1908361,V03AF03
IMMUNE SERA AND IMMUNOGLOBULINS,CHEMBL2108417,J06
trimetazidine,CHEMBL203266,C01EB15
"zoster, live attenuated",CHEMBL2108020,J07BK02
ibopamine,CHEMBL307739,S01FB03
motavizumab,CHEMBL1743042,J06BB17
desogestrel and ethinylestradiol,CHEMBL1533,G03AB05
calcium carbimide,CHEMBL3301667,N07BB02
ketoconazole,CHEMBL75,D01AC08
"dihydralazine and diuretics, combinations with other drugs",CHEMBL35505,C02LG51
Esters of aminobenzoic acid for local anesthesia,CHEMBL2110959,N01BA
glyceryl trinitrate,CHEMBL730,C05AE01
quifenadine,CHEMBL1187694,R06AX31
strontium (89Sr) chloride,CHEMBL1200625,V10BX01
Hypertonic solutions,CHEMBL2108251,B05DB
taurolidine,CHEMBL2105420,B05CA05
moclobemide,CHEMBL86304,N06AG02
myristyl-benzalkonium,CHEMBL502109,R02AA10
talimogene laherparepvec,CHEMBL2108727,L01XX51
"pertussis, purified antigen",CHEMBL2109219,J07AJ02
"Progestogens and estrogens systemic contraceptives, sequential preparations",CHEMBL1201468,G03AB
isopropamide,CHEMBL1201232,A03AB09
"pseudoephedrine, combinations",CHEMBL1590,R01BA52
"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",CHEMBL151445,R05F
Pyrimidine derivatives acting on arteriolar smooth muscle,CHEMBL35505,C02DC
elvitegravir,CHEMBL204656,J05AX11
Antiinfective irrigating solutions,CHEMBL773,B05CA
"MULTIVITAMINS, PLAIN",CHEMBL643,A11B
mefenamic acid,CHEMBL686,M01AG01
fibrinolysin,CHEMBL1201505,B01AD05
"rosuvastatin, amlodipine and lisinopril",CHEMBL419213,C10BX07
cefuroxime,CHEMBL2146124,S01AA27
"lansoprazole, amoxicillin and clarithromycin",CHEMBL480,A02BD07
hexobarbital,CHEMBL7728,N05CA16
anastrozole,CHEMBL1399,L02BG03
"miconazole, combinations",CHEMBL1559,D01AC52
cidofovir,CHEMBL152,J05AB12
ibutilide,CHEMBL2355456,C01BD05
bibrocathol,CHEMBL44875,S01AX05
dexamethasone,CHEMBL384467,S01CB01
terbutaline,CHEMBL1315867,R03AC03
dienogest and estradiol,CHEMBL3350400,G03AB08
ivacaftor and lumacaftor,CHEMBL2010601,R07AX30
hepatitis B immunoglobulin,CHEMBL2108512,J06BB04
dorzolamide,CHEMBL1201162,S01EC03
Antidiarrheal microorganisms,CHEMBL2108174,A07FA
Androgens and female sex hormones in combination with other drugs,CHEMBL1395,G03EK
roxithromycin,CHEMBL1214185,J01FA06
famciclovir,CHEMBL880,J05AB09
sodium cellulose phosphate,CHEMBL1201457,V03AG01
ciclonium and analgesics,CHEMBL2106096,A03DA04
abetimus,CHEMBL2108171,L04AA22
"nystatin, combinations",CHEMBL450895,G01AA51
telotristat,CHEMBL2105695,A16AX15
methylatropine,CHEMBL1187724,A03BB02
Mental Process,CHEMBL239243,T041
probucol,CHEMBL608,C10AX02
OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,CHEMBL1201589,R03D
ANTHELMINTICS,CHEMBL685,P02
carbohydrates,CHEMBL320894,B05BA03
lysozyme,CHEMBL2107935,J05AX02
"heparin, combinations",CHEMBL1201513,C05BA53
dibekacin,CHEMBL560976,J01GB09
letosteine,CHEMBL2105044,R05CB09
polymyxin B,CHEMBL3989714,S01AA18
gallium (67Ga) citrate,CHEMBL1200994,V09HX01
prasterone,CHEMBL4303179,A14AA07
indoramin,CHEMBL2104941,C02CA02
chlorcyclizine,CHEMBL1889091,R06AE04
fasudil,CHEMBL38380,C04AX32
ANTIFUNGALS FOR TOPICAL USE,CHEMBL2108694,D01A
guanoxan,CHEMBL76725,C02CC03
"Estrogens, endocrine therapy drugs",CHEMBL1201468,L02AA
everolimus,CHEMBL1908360,L04AA18
technetium (99mTc) votumumab,CHEMBL1201524,V09IA04
deferasirox,CHEMBL550348,V03AC03
primidone,CHEMBL856,N03AA03
"isoniazid, combinations",CHEMBL64,J04AC51
vidarabine,CHEMBL3989651,S01AD06
combinations of electrolytes,CHEMBL1200718,B05XA30
triamcinolone,CHEMBL1200449,D07XB02
metrifonate,CHEMBL167150,P02BB01
ceforanide,CHEMBL1201046,J01DC11
anethole trithione,CHEMBL178862,A16AX02
